"graph_name","weight_method","component_mode","baseline_class","n_thresholds_evaluated","n_distinct_predictions","classes_seen","prop_matching_baseline","stable","n_unclassifiable"
"insecta-ant-colony5-day40","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.2,FALSE,3
"insecta-ant-colony5-day41","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,6
"insecta-ant-colony6","adjacency","full_network","ER",8,2,"ER, Spatial",0.375,FALSE,1
"insecta-ant-colony6-day01","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,0
"insecta-ant-colony6-day02","adjacency","full_network","Spatial",10,1,"Spatial",0.8,TRUE,2
"insecta-ant-colony6-day03","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
"insecta-ant-colony6-day04","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.8,FALSE,1
"insecta-ant-colony6-day05","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,8
"insecta-ant-colony6-day06","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.1,FALSE,8
"insecta-ant-colony6-day07","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.3,FALSE,5
"insecta-ant-colony6-day08","adjacency","full_network","Spatial",10,1,"Spatial",0.2,TRUE,8
"insecta-ant-colony6-day09","adjacency","full_network","Spatial",10,2,"SF, Spatial",0.5,FALSE,3
"insecta-ant-colony6-day10","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony6-day11","adjacency","full_network","Spatial",10,1,"Spatial",0.4,TRUE,6
"insecta-ant-colony6-day12","adjacency","full_network","Spatial",10,1,"Spatial",0.5,TRUE,5
