"Graph.Name","Captive","Interaction_type","Data_collection","Species","Data_duration_days","Class","target","Predicted_classes"
"insecta-ant-colony3-day12","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day12","Geometric Graphs"
"insecta-ant-colony3-day13","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day13","Geometric Graphs"
"insecta-ant-colony3-day14","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day14","Geometric Graphs"
"insecta-ant-colony3-day15","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day15","Geometric Graphs"
"insecta-ant-colony3-day16","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day16","Geometric Graphs"
"insecta-ant-colony3-day17","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day17","Geometric Graphs"
"insecta-ant-colony3-day18","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day18","Geometric Graphs"
"insecta-ant-colony3-day19","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day19","Geometric Graphs"
"insecta-ant-colony3-day20","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day20","Geometric Graphs"
"insecta-ant-colony3-day21","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day21","Geometric Graphs"
"insecta-ant-colony3-day22","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day22","Geometric Graphs"
"insecta-ant-colony3-day23","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day23","Geometric Graphs"
"insecta-ant-colony3-day24","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day24","Geometric Graphs"
"insecta-ant-colony3-day25","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day25","Geometric Graphs"
"insecta-ant-colony3-day26","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day26","Geometric Graphs"
"insecta-ant-colony3-day27","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day27","Geometric Graphs"
"insecta-ant-colony3-day28","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day28","Geometric Graphs"
"insecta-ant-colony3-day29","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day29","Geometric Graphs"
"insecta-ant-colony3-day30","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day30","Geometric Graphs"
"insecta-ant-colony3-day31","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day31","Geometric Graphs"
"insecta-ant-colony3-day32","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day32","Geometric Graphs"
"insecta-ant-colony3-day33","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day33","Geometric Graphs"
"insecta-ant-colony3-day34","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day34","Geometric Graphs"
"insecta-ant-colony3-day35","Yes","Physical_contact","video","Camponotus_fellah",1,"Insecta","insecta-ant-colony3-day35","Geometric Graphs"
